,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,target
0,-0.0434783,0.153846,0.194444,-0.353712,-0.450549,-0.698113,-0.346405,-0.0857143,-0.5,0.171429,-0.515789,-0.532374,-0.0566038,-0.710526,-0.454545,-0.219512,-0.266667,0.0666667,4.0
1,-0.217391,-0.384615,0.222222,-0.676856,-0.78022,-0.735849,-0.51634,0.0857143,-0.666667,-0.285714,-0.578947,-0.64988,-0.383648,-0.657895,-0.181818,-0.317073,-0.133333,0.2,4.0
2,0.347826,0.307692,0.833333,-0.0829694,-0.582418,-0.698113,0.24183,-0.657143,0,0.142857,-0.0210526,0.0815348,0.396226,-0.631579,0.272727,-0.560976,-0.2,0,2.0
3,-0.130435,-0.384615,0.166667,-0.519651,-0.648352,-0.735849,-0.581699,0.142857,-0.666667,-0.285714,-0.684211,-0.70024,-0.773585,-0.894737,-0.454545,-0.512195,0.533333,0.733333,4.0
4,-0.478261,-0.153846,-0.166667,-0.117904,0.230769,0.886792,-0.51634,0.0857143,-0.666667,-0.257143,0.168421,-0.661871,-0.00628931,0.789474,-0.181818,-0.463415,-0.733333,-0.866667,3.0
5,0.478261,0.846154,0.833333,-0.406114,-0.934066,-0.849057,0.869281,-1.0,0.833333,0.457143,0.578947,0.853717,0.949686,-0.315789,-0.545455,-0.560976,-0.666667,-0.866667,3.0
6,0.0434783,-0.230769,-0.0833333,-0.39738,-0.604396,-0.849057,-0.464052,-0.0857143,-0.666667,-0.285714,-0.515789,-0.57554,-0.207547,-0.815789,0.181818,-0.95122,0.6,0.533333,3.0
7,-0.26087,-0.230769,-0.277778,-0.537118,-0.604396,-0.735849,-0.673203,0.257143,-0.833333,-0.2,-0.663158,-0.767386,-0.308176,-0.789474,-0.727273,-0.853659,0.133333,0.4,4.0
8,-0.434783,-0.923077,-0.388889,-0.68559,-0.692308,-0.811321,-0.869281,0.6,-1.0,-0.742857,-0.884211,-0.906475,-0.962264,-0.868421,-0.818182,-0.317073,0.6,0.8,4.0
9,-0.130435,-0.153846,0.611111,-0.187773,-0.67033,-0.660377,-0.0718954,-0.428571,-0.166667,-0.2,-0.242105,-0.230216,-0.459119,-0.868421,-0.636364,-0.317073,0.266667,0.533333,2.0
10,-0.434783,-0.769231,-0.166667,-0.659389,-0.692308,-0.735849,-0.72549,0.371429,-0.833333,-0.657143,-0.757895,-0.803357,-0.773585,-0.815789,-0.818182,-0.512195,0.2,0.4,4.0
11,-0.26087,-0.923077,-0.277778,-0.720524,-0.824176,-0.849057,-0.856209,0.6,-1.0,-1.0,-0.810526,-0.904077,-0.886792,-0.842105,-0.545455,0.268293,0.333333,0.4,2.0
12,-0.347826,0,-0.0555556,-0.414847,-0.538462,-0.849057,-0.477124,-0.0285714,-0.666667,-0.142857,-0.473684,-0.604317,0.0440252,-0.684211,-0.545455,-0.463415,-0.133333,-0.0666667,3.0
13,-0.304348,-0.307692,0.25,-0.650655,-0.758242,-0.698113,-0.477124,0.0285714,-0.666667,-0.257143,-0.547368,-0.613909,-0.345912,-0.657895,-0.272727,-0.365854,-0.266667,0.0666667,4.0
14,-0.0869565,0.230769,0.0833333,-0.135371,-0.472527,-0.886792,-0.189542,-0.371429,-0.333333,0.0285714,-0.305263,-0.326139,0.220126,-0.684211,-0.454545,-0.902439,0.4,0.2,3.0
15,0,0.692308,0.75,-0.152838,-0.604396,-0.735849,0.202614,-0.657143,0,0.371429,0.0210526,0.0551559,0.72327,-0.605263,-0.454545,-0.902439,-0.333333,-0.133333,1.0
16,-0.304348,-0.769231,-0.694444,-0.956332,-0.89011,-0.849057,-0.921569,0.771429,-1.0,-0.685714,-0.926316,-0.947242,-0.798742,-0.447368,-0.818182,-0.317073,-0.666667,-0.733333,4.0
17,0.130435,-0.384615,0.0277778,-0.187773,-0.516484,-0.849057,-0.150327,-0.428571,-0.333333,-0.4,-0.242105,-0.278177,-0.471698,-0.657895,-0.636364,-0.512195,0.466667,0.2,3.0
18,0.347826,0.615385,0.666667,-0.283843,-0.692308,-0.698113,0.359477,-0.714286,0.166667,0.571429,0,0.203837,0.396226,-0.605263,-0.545455,-0.463415,-0.4,-0.0666667,2.0
19,0.217391,0.769231,0.666667,-0.0305677,-0.516484,-0.698113,0.254902,-0.657143,0.166667,0.457143,0.0210526,0.119904,0.433962,-0.605263,-0.454545,-0.756098,-0.333333,-0.2,1.0
20,-0.521739,0.0769231,-0.0277778,-0.572052,-0.626374,-0.849057,-0.45098,-0.0285714,-0.666667,-0.228571,-0.526316,-0.592326,-0.0566038,-0.578947,-1.0,-0.853659,-0.4,-0.266667,3.0
21,-0.521739,-0.692308,-0.638889,-0.851528,-0.736264,-0.886792,-0.856209,0.657143,-1.0,-0.8,-0.884211,-0.911271,-0.698113,-0.394737,-0.363636,-0.95122,-0.8,-0.866667,4.0
22,-0.0869565,-0.230769,-0.333333,-0.39738,-0.516484,-0.811321,-0.503268,-0.0285714,-0.666667,-0.314286,-0.589474,-0.616307,-0.144654,-0.763158,-0.181818,-0.95122,0.533333,0.666667,3.0
23,-0.391304,-0.538462,-0.166667,-0.615721,-0.692308,-0.811321,-0.594771,0.142857,-0.833333,-0.485714,-0.642105,-0.705036,-0.597484,-0.736842,-0.909091,-0.902439,0.0666667,0.2,3.0
24,0.130435,0.538462,0.805556,0.00436681,-0.582418,-0.660377,0.202614,-0.657143,0,0.342857,-0.0421053,0.0527578,0.446541,-0.763158,-1.0,-0.707317,0,0.333333,2.0
25,-0.478261,-0.0769231,0.111111,-0.563319,-0.626374,-0.735849,-0.542484,0.0857143,-0.666667,-0.142857,-0.589474,-0.664269,-0.18239,-0.684211,-0.909091,-0.804878,-0.2,0.2,4.0
26,-0.565217,-0.769231,-0.611111,-0.868996,-0.78022,-0.849057,-0.79085,0.542857,-0.833333,-0.8,-0.863158,-0.870504,-0.622642,-0.394737,-0.454545,-0.853659,-0.8,-0.866667,2.0
27,0.478261,0.615385,0.611111,-0.135371,-0.604396,-0.660377,0.385621,-0.714286,0.333333,0.4,0.0421053,0.227818,0.345912,-0.657895,-0.909091,0.365854,-0.266667,0.2,2.0
28,0.26087,-0.0769231,0.25,-0.222707,-0.626374,-0.849057,0.0457516,-0.6,-0.166667,-0.2,-0.0842105,-0.0743405,-0.320755,-0.552632,-0.454545,-0.658537,0.266667,-0.2,3.0
29,-0.695652,-0.615385,-0.361111,-0.781659,-0.824176,-0.811321,-0.555556,0.142857,-0.666667,-0.657143,-0.6,-0.688249,-0.383648,-0.368421,-0.181818,-0.0243902,-0.733333,-0.733333,2.0
30,-0.304348,-0.230769,0.25,-0.510917,-0.626374,-0.660377,-0.437908,-0.0285714,-0.666667,-0.0571429,-0.547368,-0.58753,-0.18239,-0.657895,-0.545455,-0.560976,-0.4,0,4.0
31,-0.347826,-0.307692,0.0277778,-0.58952,-0.758242,-0.773585,-0.633987,0.2,-0.833333,-0.314286,-0.631579,-0.738609,-0.383648,-0.868421,-0.0909091,-0.463415,0.466667,0.6,2.0
32,-0.130435,-0.846154,-0.277778,-0.563319,-0.736264,-0.849057,-0.607843,0.142857,-0.833333,-0.714286,-0.663158,-0.71223,-0.861635,-0.868421,-0.545455,-0.365854,0.4,0.4,1.0
33,0.217391,0.153846,0.861111,0.0305677,-0.538462,-0.698113,0.254902,-0.657143,0.166667,0.0285714,0.0736842,0.0959233,0.194969,-0.710526,-0.545455,0.853659,-0.0666667,0.4,1.0
34,-0.391304,-0.615385,0.25,-0.362445,-0.692308,-0.773585,-0.320261,-0.2,-0.5,-0.685714,-0.410526,-0.477218,-0.735849,-0.894737,-0.909091,0.219512,0.466667,0.6,1.0
35,0.173913,0,0.388889,-0.406114,-0.56044,-0.735849,-0.411765,-0.0285714,-0.5,-0.0857143,-0.578947,-0.570743,-0.0566038,-0.789474,0.545455,-0.658537,0.0666667,0.266667,4.0
36,-0.608696,-0.153846,-0.111111,-0.877729,-0.89011,-0.811321,-0.477124,0.0285714,-0.666667,-0.171429,-0.536842,-0.625899,-0.144654,-0.394737,-0.818182,-0.902439,-0.733333,-0.733333,3.0
37,-0.26087,0.153846,0.277778,0.764192,0.736264,0.773585,-0.464052,0.0285714,-0.666667,0.0857143,0.494737,-0.611511,0.144654,0.552632,-1.0,-0.268293,-0.4,-0.133333,4.0
38,0.434783,0.538462,0.611111,-0.371179,-0.846154,-0.698113,0.359477,-0.714286,0.166667,0.514286,0.105263,0.215827,0.371069,-0.605263,-0.909091,-0.560976,-0.266667,0.0666667,2.0
39,-0.652174,-0.0769231,-0.222222,-0.432314,-0.428571,-0.849057,-0.490196,0.0285714,-0.666667,-0.2,-0.547368,-0.635492,-0.0314465,-0.578947,-0.363636,-1.0,-0.533333,-0.466667,3.0
40,-0.0434783,0.153846,0.777778,-0.0393013,-0.56044,-0.735849,0.215686,-0.657143,0,-0.0571429,0.0210526,0.0647482,0.169811,-0.605263,-0.545455,-0.560976,-0.333333,-0.2,1.0
41,-0.347826,-0.692308,-0.694444,-0.991266,-0.89011,-0.886792,-0.908497,0.771429,-1.0,-0.714286,-0.947368,-0.944844,-0.798742,-0.289474,-0.272727,-0.219512,-0.8,-0.866667,4.0
42,-0.0869565,0.230769,0.305556,-0.71179,-0.846154,-0.660377,-0.398693,-0.0285714,-0.5,0.257143,-0.494737,-0.563549,-0.0314465,-0.578947,-0.545455,-0.756098,-0.533333,-0.133333,4.0
43,-0.130435,-0.692308,0,-0.310044,-0.648352,-0.773585,-0.320261,-0.2,-0.5,-0.542857,-0.357895,-0.470024,-0.622642,-0.789474,-0.636364,-0.658537,0.0666667,0.0666667,2.0
44,1.0,0.615385,0.833333,0.0131004,-0.604396,-0.622642,0.320261,-0.714286,0.166667,0.4,-0.0210526,0.177458,0.54717,-0.815789,0.818182,-0.95122,0.0666667,0.4,2.0
45,-0.130435,0,0.166667,-0.641921,-0.758242,-0.660377,-0.385621,-0.0285714,-0.5,0.2,-0.473684,-0.551559,0.00628931,-0.526316,-0.818182,-0.804878,-0.533333,-0.133333,4.0
46,-0.217391,-0.230769,-0.166667,-0.746725,-0.824176,-0.773585,-0.764706,0.428571,-0.833333,-0.2,-0.694737,-0.834532,-0.408805,-0.710526,-0.909091,-0.609756,-0.0666667,-0.133333,4.0
47,-0.478261,-0.307692,-0.277778,-0.842795,-0.846154,-0.849057,-0.529412,0.142857,-0.666667,-0.342857,-0.557895,-0.681055,-0.18239,-0.236842,-0.454545,-0.317073,-0.733333,-0.933333,3.0
48,-0.304348,0.0769231,0.138889,-0.624454,-0.626374,-0.660377,-0.424837,0.0285714,-0.5,0.285714,-0.578947,-0.597122,-0.00628931,-0.552632,-0.454545,-0.365854,-0.466667,-0.2,4.0
49,-0.217391,-0.0769231,0.0833333,-0.371179,-0.736264,-0.735849,-0.333333,-0.2,-0.5,-0.142857,-0.431579,-0.472422,-0.119497,-0.921053,-1.0,-0.512195,0.533333,0.8,2.0
50,-0.782609,-0.615385,-0.361111,-0.90393,-0.912088,-0.849057,-0.607843,0.2,-0.666667,-0.657143,-0.663158,-0.724221,-0.534591,-0.526316,-0.818182,-0.804878,-0.666667,-0.733333,2.0
51,-0.173913,-0.615385,-0.138889,-0.388646,-0.582418,-0.811321,-0.45098,-0.0285714,-0.666667,-0.571429,-0.463158,-0.589928,-0.735849,-0.710526,-0.636364,0.170732,-0.133333,-0.0666667,2.0
52,0.0869565,0.692308,0.694444,0.0829694,-0.494505,-0.735849,0.281046,-0.714286,0.166667,0.428571,0.115789,0.143885,0.710692,-0.657895,-0.909091,-0.707317,-0.2,0.0666667,1.0
53,0.217391,-0.307692,-0.388889,-0.379913,-0.56044,-0.849057,-0.51634,-0.0285714,-0.666667,-0.4,-0.589474,-0.623501,-0.295597,-0.842105,-0.363636,-0.463415,0.733333,0.866667,3.0
54,0.217391,0.769231,0.777778,-0.292576,-0.868132,-0.849057,0.895425,-1.0,0.833333,0.428571,0.526316,0.851319,0.522013,-0.368421,-0.545455,0.268293,-0.733333,-0.8,3.0
55,-0.0869565,-0.769231,-0.277778,-0.58952,-0.692308,-0.773585,-0.72549,0.371429,-0.833333,-0.514286,-0.747368,-0.805755,-0.874214,-0.921053,-0.181818,-0.853659,0.666667,0.8,4.0
56,0.0434783,-0.153846,0.555556,-0.20524,-0.648352,-0.735849,-0.0457516,-0.428571,-0.166667,-0.257143,-0.242105,-0.213429,-0.295597,-0.815789,-0.636364,-0.609756,0,0.2,2.0
57,-0.304348,0.0769231,0.222222,-0.746725,-0.824176,-0.660377,-0.411765,0.0285714,-0.5,0.2,-0.589474,-0.592326,-0.157233,-0.605263,-0.545455,-0.560976,-0.6,-0.266667,4.0
58,0.478261,0.538462,0.75,0.0218341,-0.582418,-0.660377,0.267974,-0.657143,0.166667,0.285714,-0.0315789,0.1247,0.295597,-0.815789,-1.0,-0.95122,0,0.333333,1.0
59,-0.478261,-0.538462,-0.222222,-0.868996,-0.89011,-0.886792,-0.79085,0.542857,-0.833333,-0.514286,-0.810526,-0.863309,-0.584906,-0.578947,-0.272727,-0.609756,-0.6,-0.6,4.0
60,0.304348,0.307692,0.611111,-0.0567686,-0.648352,-0.735849,0.0588235,-0.542857,-0.166667,0.228571,-0.115789,-0.0815348,-0.0440252,-0.868421,-0.545455,-0.756098,0.466667,0.533333,1.0
61,-0.826087,-0.615385,-0.361111,-0.729258,-0.736264,-0.886792,-0.764706,0.485714,-0.833333,-0.657143,-0.842105,-0.848921,-0.622642,-0.473684,0.181818,0.0243902,-0.533333,-0.6,1.0
62,0,-0.461538,-0.166667,-0.860262,-0.934066,-0.773585,-0.673203,0.371429,-0.833333,-0.342857,-0.663158,-0.796163,-0.622642,-0.447368,-0.0909091,-0.365854,-0.533333,-0.866667,4.0
63,-0.565217,-0.307692,-0.277778,-0.545852,-0.56044,-0.811321,-0.503268,0.0857143,-0.666667,-0.257143,-0.536842,-0.642686,-0.371069,-0.5,-0.636364,-0.902439,-0.6,-0.533333,3.0
64,-0.130435,-0.0769231,0.277778,-0.152838,-0.516484,-0.811321,-0.0588235,-0.485714,-0.166667,-0.228571,-0.231579,-0.18705,-0.0691824,-0.657895,-1.0,-0.804878,0.2,0.0666667,3.0
65,-0.304348,-0.384615,-0.0277778,-0.659389,-0.802198,-0.811321,-0.555556,0.142857,-0.666667,-0.457143,-0.578947,-0.681055,-0.408805,-0.552632,0.636364,-0.756098,-0.466667,-0.533333,1.0
66,-0.652174,-0.230769,-0.222222,-0.816594,-0.78022,-0.773585,-0.51634,0.142857,-0.666667,-0.2,-0.589474,-0.666667,-0.207547,-0.368421,-0.454545,-0.121951,-0.8,-0.8,3.0
67,0.0869565,0.692308,0.694444,0.00436681,-0.516484,-0.660377,0.477124,-0.771429,0.333333,0.714286,0.0631579,0.352518,0.345912,-0.605263,-0.454545,-0.317073,-0.266667,-0.0666667,1.0
68,-0.434783,-0.153846,0.0555556,-0.475983,-0.538462,-0.735849,-0.607843,0.142857,-0.833333,-0.171429,-0.6,-0.709832,-0.220126,-0.710526,-0.909091,-0.463415,-0.0666667,0.333333,4.0
69,0.0869565,0.230769,0.222222,0.00436681,-0.406593,-0.811321,0.0196078,-0.542857,-0.166667,0.0285714,-0.178947,-0.103118,0.257862,-0.605263,-0.636364,-0.658537,0.266667,-0.0666667,3.0
