,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,target
0,-0.03125,0.0181818,-0.047619,-0.140496,-0.225806,-0.0545455,-0.0315789,-0.1875,-0.375,0.0873786,0.0526316,-0.1875,0,0,-0.0652174,-0.220339,-0.28125,-0.0679612,-0.0361446,-0.203252,-0.138462,0.0873786,0.2,-0.072,0.3125,0.230769,0.0804598,-0.0833333,-0.169231,-0.128713,-0.284211,-0.234375,-0.28125,0.00970874,-0.0315789,-0.125,1.0
1,-0.03125,0.0909091,0.047619,-0.206612,0.290323,0.309091,0.221053,-0.078125,0.375,0.553398,0.431579,0.046875,0.129032,0.538462,0.304348,0,0.09375,0.475728,0.373494,0.00813008,0.107692,0.398058,0.311111,0.072,0.0625,0.403846,0.356322,-0.0333333,-0.0461538,0.445545,0.305263,-0.015625,-0.1875,0.339806,0.221053,-0.015625,1.0
2,-0.03125,0.236364,0.238095,-0.0909091,0,0.381818,0.326316,-0.015625,-0.125,0.553398,0.431579,-0.015625,0,0.461538,0.413043,0,-0.03125,0.553398,0.493976,0.00813008,-0.0153846,0.553398,0.511111,0.072,-0.1875,0.576923,0.471264,-0.0333333,-0.0461538,0.524752,0.410526,-0.015625,-0.1875,0.495146,0.515789,-0.015625,1.0
3,-0.03125,0.309091,0.285714,0.00826446,-0.129032,-0.0909091,-0.0105263,-0.21875,-0.28125,-0.242718,-0.157895,-0.21875,-0.129032,0.346154,0.326087,-0.0338983,-0.15625,0.106796,0.0843373,-0.138211,0.0769231,0.262136,0.222222,-0.024,0.125,0.519231,0.425287,0,0.138462,0.485149,0.284211,0.078125,0.25,0.631068,0.578947,0.140625,1.0
4,-0.03125,0.309091,0.380952,0.0743802,0.129032,0.472727,0.557895,0.078125,-0.03125,0.398058,0.263158,0.015625,-0.0322581,0.442308,0.326087,0.0338983,-0.0625,0.533981,0.39759,-0.0243902,-0.138462,0.359223,0.422222,-0.024,0,0.519231,0.425287,0,0.138462,0.663366,0.368421,0.015625,0.125,0.533981,0.368421,0.015625,1.0
5,-0.03125,0.381818,0.261905,-0.107438,0,0.527273,0.326316,0.046875,-0.03125,0.631068,0.536842,0.109375,-0.258065,0.230769,0.0217391,-0.237288,-0.1875,0.495146,0.253012,-0.105691,-0.0461538,0.669903,0.6,0.072,0.09375,0.384615,0.103448,-0.25,-0.138462,0.425743,0.263158,-0.109375,-0.03125,0.650485,0.452632,0.078125,1.0
6,-0.03125,0.381818,0.285714,-0.123967,-0.129032,0.309091,0.0736842,-0.15625,0.09375,0.398058,0.0736842,-0.21875,-0.0322581,0.615385,0.434783,0.0338983,-0.15625,0.533981,0.39759,-0.0894309,-0.261538,0.262136,0.222222,-0.184,-0.125,0.519231,0.425287,-0.05,-0.107692,0.485149,0.368421,-0.03125,-0.25,0.203883,0.0947368,-0.21875,1.0
7,-0.03125,0.381818,0.357143,-0.0247934,-0.0967742,0.454545,0.431579,-0.015625,-0.25,0.398058,0.136842,-0.125,0,0.538462,0.413043,0.0677966,-0.03125,0.553398,0.493976,0.00813008,-0.261538,0.553398,0.4,0.008,-0.0625,0.480769,0.471264,-0.0333333,-0.169231,0.524752,0.515789,-0.015625,-0.28125,0.495146,0.410526,-0.015625,1.0
8,-0.03125,0.381818,0.357143,-0.0247934,0,0.381818,0.431579,-0.015625,-0.03125,0.553398,0.431579,0.046875,0,0.615385,0.521739,0.0677966,-0.03125,0.475728,0.493976,0.00813008,-0.0153846,0.553398,0.4,0.008,-0.1875,0.480769,0.471264,-0.0333333,-0.0461538,0.623762,0.515789,0.046875,0.0625,0.592233,0.410526,0.046875,1.0
9,-0.03125,0.381818,0.357143,-0.0909091,-0.0967742,0.309091,0.221053,-0.078125,-0.375,0.320388,0.221053,-0.125,0,0.615385,0.630435,0.0677966,-0.03125,0.553398,0.614458,0.00813008,-0.0153846,0.475728,0.511111,0.072,0.0625,0.653846,0.586207,0.1,-0.0461538,0.70297,0.515789,0.046875,-0.0625,0.592233,0.515789,0.109375,1.0
